stage	line	before	after
abbreviation	5	 & 	 and 
abbreviation	5	 & 	 and 
abbreviation	7	 & 	 and 
abbreviation	13	ye	the
abbreviation	13	yt	that
abbreviation	13	 & 	 and 
abbreviation	13	 & 	 and 
abbreviation	13	 & 	 and 
abbreviation	13	 & 	 and 
abbreviation	13	 & 	 and 
abbreviation	13	 & 	 and 
abbreviation	13	 & 	 and 
abbreviation	15	ye	the
abbreviation	15	ye	the
abbreviation	15	ye	the
abbreviation	15	ye	the
abbreviation	15	yt	that
abbreviation	15	yt	that
abbreviation	15	 & 	 and 
abbreviation	15	 & 	 and 
abbreviation	15	 & 	 and 
abbreviation	15	 & 	 and 
abbreviation	15	 & 	 and 
abbreviation	15	 & 	 and 
abbreviation	15	 & 	 and 
abbreviation	15	 & 	 and 
abbreviation	15	 & 	 and 
abbreviation	15	 & 	 and 
abbreviation	17	 & 	 and 
abbreviation	35	ye	the
abbreviation	35	ye	the
abbreviation	35	 & 	 and 
abbreviation	89	 & 	 and 
abbreviation	97	 & 	 and 
abbreviation	103	 & 	 and 
abbreviation	123	ye	the
abbreviation	123	yt	that
abbreviation	123	 & 	 and 
abbreviation	129	ye	the
abbreviation	129	ye	the
abbreviation	133	 & 	 and 
abbreviation	135	 & 	 and 
abbreviation	137	 & 	 and 
abbreviation	139	ye	the
abbreviation	139	ye	the
abbreviation	139	 & 	 and 
abbreviation	139	 & 	 and 
abbreviation	139	 & 	 and 
abbreviation	139	 & 	 and 
abbreviation	139	 & 	 and 
abbreviation	139	 & 	 and 
abbreviation	139	 & 	 and 
abbreviation	141	 & 	 and 
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	ye	the
abbreviation	143	yt	that
abbreviation	143	yt	that
abbreviation	143	yt	that
abbreviation	143	yt	that
abbreviation	143	yt	that
abbreviation	143	yt	that
abbreviation	143	 & 	 and 
